stage_name,show_title,season_num,ep_num
Logan Gonzalez,Horizon Whispers Hidden,1,1
Scarlet Rose,Horizon Whispers Hidden,1,1
Liam Smith,Horizon Whispers Hidden,1,1
Mason Wilson,Horizon Whispers Hidden,1,2
Harper Garcia Kim,Horizon Whispers Hidden,1,3
Ella Moore,Horizon Whispers Hidden,1,3
Shadow Quest,Horizon Whispers Hidden,1,4
Crystal Dawn,Horizon Whispers Hidden,1,4
Midnight Crest Jr,Horizon Whispers Hidden,1,4
Fierce Canyon,Horizon Whispers Hidden,1,5
Atomic Wolf,Horizon Whispers Hidden,1,5
Frost Falcon,Horizon Whispers Hidden,1,5
Mason Wilson,Horizon Whispers Hidden,1,6
Henry Gonzalez White,Horizon Whispers Hidden,1,6
Fierce Dancer,Horizon Whispers Hidden,1,6
Velvet Canyon,Phantom Ancient,1,1
Jack Martin Smith,Phantom Ancient,1,1
Logan Anderson,Phantom Ancient,1,2
Lucas Lopez,Phantom Ancient,1,2
Jack Wilson,Phantom Ancient,1,3
Urban Quest,Phantom Ancient,1,3
Jack Martin,Phantom Ancient,1,4
Blazing Canyon,Phantom Ancient,1,5
Harper Garcia,Phantom Ancient,1,6
James Brown,Phantom Ancient,1,7
Jack Wilson Garcia,Phantom Ancient,1,8
Liam Smith Jr,Phantom Ancient,1,8
Ethan Hernandez,Phantom Ancient,1,8
Mason Jackson Miller,Phantom Ancient,1,9
Ella Martinez,Phantom Ancient,1,10
Mia Williams,Phantom Ancient,1,10
Liam Garcia,Phantom Ancient,1,11
James Smith,Phantom Ancient,1,11
Ella Anderson,Phantom Ancient,2,1
Crimson Dawn,Phantom Ancient,2,1
Logan Williams,Phantom Ancient,2,1
Logan Jackson,Phantom Ancient,2,1
Royal Shade,Phantom Ancient,2,2
Radiant Viper,Phantom Ancient,2,3
Rapid Lion,Phantom Ancient,2,3
John Anderson,Phantom Ancient,2,3
Logan Johnson,Phantom Ancient,2,3
Henry Lopez Garcia,Phantom Ancient,2,4
Henry Brown White,Phantom Ancient,2,4
Luna Taylor,Phantom Ancient,2,4
Isabella Anderson,Phantom Ancient,2,4
James Moore,Phantom Ancient,2,5
Jack Williams,Phantom Ancient,2,5
Olivia Smith Jr,Phantom Ancient,2,5
Lucas Gonzalez,Phantom Ancient,2,6
Amelia Martin,Phantom Ancient,2,6
Crystal Dawn,Phantom Ancient,2,6
Harper Brown,Phantom Ancient,2,6
Fierce Gale,Phantom Ancient,2,7
Atomic Hawk,Phantom Ancient,2,7
Mia Lopez,Phantom Ancient,2,8
Mia Davis,Phantom Ancient,2,8
Lucky Token,Phantom Ancient,2,9
Henry Jackson,Phantom Ancient,2,9
Ella Garcia Nguyen,Phantom Ancient,2,9
Isabella Jackson,Phantom Ancient,2,9
Amelia Davis,Phantom Ancient,2,10
Olivia Miller,Phantom Ancient,2,10
Mia Jackson,Future Galaxy,1,1
Velvet Forge,Future Galaxy,1,1
Electric Echo,Future Galaxy,1,1
Logan Miller,Future Galaxy,1,2
Prime Pilot,Future Galaxy,1,2
Neon Crest,Future Galaxy,1,2
Electric Canyon,Future Galaxy,1,2
Mia Rodriguez,Future Galaxy,1,3
Logan Williams,Future Galaxy,1,3
Isabella Rodriguez Garcia,Future Galaxy,1,3
Henry Davis,Future Galaxy,1,3
Mystic Jade,Future Galaxy,1,4
Olivia Williams White,Future Galaxy,1,4
Isabella Williams White,Future Galaxy,1,5
John Martin,Future Galaxy,1,6
Noah Johnson Davis,Future Galaxy,1,6
John Rodriguez,Future Galaxy,2,1
Ethan Thomas,Future Galaxy,2,1
Prime Gale,Future Galaxy,2,1
Ivory Specter,Future Galaxy,2,2
Cinder Sage,Future Galaxy,2,2
Liam Garcia Kim,Future Galaxy,2,2
Prime Shadow,Future Galaxy,2,2
Noah Thomas,Future Galaxy,2,3
Midnight Rider,Future Galaxy,2,3
Liam Johnson,Future Galaxy,2,3
John Jones,Future Galaxy,2,3
Liam Taylor,Future Galaxy,2,4
Dynamic Quest,Future Galaxy,2,4
Olivia Lopez,Future Galaxy,2,5
Noble Star,Future Galaxy,2,6
Swift Knight,Future Galaxy,2,7
Ella Lopez,Future Galaxy,2,7
Atomic Trace,Future Galaxy,2,7
Amelia Hernandez,Future Galaxy,2,8
Crystal Phoenix,Future Galaxy,2,8
James Wilson,Future Galaxy,3,1
Isabella Rodriguez Garcia,Future Galaxy,3,1
Scarlet Blaze,Future Galaxy,3,1
Mia Martinez Garcia,Future Galaxy,3,1
Lunar Brook,Future Galaxy,3,2
Henry Taylor,Future Galaxy,3,3
Mason Martinez,Future Galaxy,3,4
Harper Rodriguez Thompson,Future Galaxy,3,4
Wild Voyager,Future Galaxy,3,4
Prime Shadow,Future Galaxy,3,4
Henry Davis Jr,Future Galaxy,3,5
Olivia Jones,Future Galaxy,3,5
Olivia Parker,Future Galaxy,3,6
James Thomas,Future Galaxy,3,6
Wild Whisper,Future Galaxy,3,6
Ultra Crest,Future Galaxy,3,7
Rapid Lion,Future Galaxy,3,7
Ethan Jackson,Future Galaxy,3,7
Ella Martinez,Future Galaxy,3,7
Urban Dragon,Future Galaxy,3,8
Olivia Wilson,Future Galaxy,3,8
Mia Martin,Future Galaxy,3,8
Liam Garcia Johnson,Future Galaxy,3,9
Velvet Falcon,Future Galaxy,3,9
Logan Johnson,Future Galaxy,3,9
Mia Davis,Future Galaxy,3,10
Logan Rodriguez Smith,Future Galaxy,3,10
Mason Johnson,Future Galaxy,3,10
Olivia Parker,Future Galaxy,3,10
Liam Smith Jr,Future Galaxy,3,11
