stage_name,first_name,last_name
Brooke Gonzalez,Brooke,Gonzalez
Brooke Anderson,Brooke,Anderson
Ivy Garcia,Ivy,Garcia
Rowan Hernandez,Rowan,Hernandez
Rowan Young,Rowan,Young
Nina Gonzalez,Nina,Gonzalez
Casey Lopez,Casey,Lopez
Ivy Clark,Ivy,Clark
Jordan White,Jordan,White
Maya Moore,Maya,Moore
Riley Allen,Riley,Allen
Riley Thompson,Riley,Thompson
Nina Wilson,Nina,Wilson
Logan Gonzalez,Logan,Gonzalez
Casey Martin,Casey,Martin
Vera Lopez,Vera,Lopez
Jane Gonzalez Lee,Brooke,Gonzalez
Brooke Jones,Brooke,Jones
Harper Taylor,Harper,Taylor
Emerson Davis,Emerson,Davis
Sierra Walker,Sierra,Walker
Riley Davis,Riley,Davis
Ivy Davis,Ivy,Davis
Parker Walker,Parker,Walker
Quinn Allen,Quinn,Allen
Reese Thomas,Reese,Thomas
Maya Johnson,Maya,Johnson
Harper Davis,Harper,Davis
Cameron White,Cameron,White
Maya Hall,Maya,Hall
Rowan Harris,Rowan,Harris
Brooke Walker,Brooke,Walker
Casey Wilson,Casey,Wilson
Morgan Moore,Morgan,Moore
Vera Lewis,Vera,Lewis
Skyler Lewis,Skyler,Lewis
Taylor Garcia,Taylor,Garcia
Sierra Allen,Sierra,Allen
Skyler Harris,Skyler,Harris
Sierra Allen Vision,Sierra,Allen
Elliot Martin,Elliot,Martin
Jordan White Vision,Jordan,White
Drew Thomas,Drew,Thomas
Taylor Allen,Taylor,Allen
Rowan Thompson,Rowan,Thompson
Riley Clark,Riley,Clark
Vera Jones,Vera,Jones
Brooke Clark,Brooke,Clark
Elliot Martinez,Elliot,Martinez
Morgan Hernandez,Morgan,Hernandez
Morgan Brown,Morgan,Brown
Taylor Jones,Taylor,Jones
Logan Taylor,Logan,Taylor
Cameron Thomas,Cameron,Thomas
Jordan Davis,Jordan,Davis
Casey Thompson,Casey,Thompson
Cameron Martinez,Cameron,Martinez
Kendall Davis,Kendall,Davis
Skyler Lee,Skyler,Lee
Rowan Johnson,Rowan,Johnson
Riley Thomas,Riley,Thomas
Harper Young,Harper,Young
Avery Davis,Avery,Davis
Rowan Thomas,Rowan,Thomas
Vera Garcia,Vera,Garcia
Rowan Thompson Works,Rowan,Thompson
Alex Hall,Alex,Hall
Brooke Thompson,Brooke,Thompson
Taylor Harris,Taylor,Harris
Emerson Taylor,Emerson,Taylor
Logan Wilson,Logan,Wilson
Cameron Martinez Davis,Cameron,Martinez
Logan Garcia,Logan,Garcia
Rowan Davis,Rowan,Davis
Alex Lewis,Alex,Lewis
Rowan Gonzalez,Rowan,Gonzalez
Reese Jones,Reese,Jones
Drew Allen,Drew,Allen
Vera Williams,Vera,Williams
Jamie Hall,Jamie,Hall
Ivy Young,Ivy,Young
Emerson Hernandez,Emerson,Hernandez
Drew Lewis,Drew,Lewis
Avery Lopez,Avery,Lopez
Clara Miller,Clara,Miller
Casey Miller,Casey,Miller
Jamie Gonzalez,Jamie,Gonzalez
Finley Rodriguez,Finley,Rodriguez
Clara Thompson,Clara,Thompson
Quinn Jones,Quinn,Jones
Elliot Williams,Elliot,Williams
Lena Jones,Lena,Jones
Casey Thomas,Casey,Thomas
Reese Harris,Reese,Harris
Clara Martinez,Clara,Martinez
Lena Moore,Lena,Moore
Jamie Clark,Jamie,Clark
Avery Anderson,Avery,Anderson
Ivy Martin,Ivy,Martin
Skyler Allen,Skyler,Allen
Finley Hernandez,Finley,Hernandez
Brooke Miller,Brooke,Miller
Rowan Davis Kim,Rowan,Davis
Parker Garcia,Parker,Garcia
Taylor Martin,Taylor,Martin
Jordan Martinez,Jordan,Martinez
Clara Davis,Clara,Davis
Vera Davis,Vera,Davis
Alex White,Alex,White
Taylor Walker,Taylor,Walker
Drew Brown,Drew,Brown
Maya Garcia,Maya,Garcia
Riley Martinez,Riley,Martinez
Taylor Hall,Taylor,Hall
Elliot Gonzalez,Elliot,Gonzalez
