reviewer_name,show_title,season_num,review_score
Metacritic,Horizon Whispers Hidden,1,90
CinemaScore,Horizon Whispers Hidden,1,47
FilmAffinity,Horizon Whispers Hidden,1,4
IMDb,Horizon Whispers Hidden,1,2
Critic Circle,Horizon Whispers Hidden,1,4
IGN,Phantom Ancient,1,6
Metacritic,Phantom Ancient,1,54
CinemaScore,Phantom Ancient,1,74
Rotten Tomatoes,Phantom Ancient,1,55
FilmAffinity,Phantom Ancient,1,4
Letterboxd,Phantom Ancient,2,0
Rotten Tomatoes,Phantom Ancient,2,64
Critic Circle,Phantom Ancient,2,4
Roger Ebert,Phantom Ancient,2,0
Metacritic,Phantom Ancient,2,7
Critic Circle,Future Galaxy,1,1
CinemaScore,Future Galaxy,1,100
Metacritic,Future Galaxy,1,70
FilmAffinity,Future Galaxy,2,7
Metacritic,Future Galaxy,2,74
Critic Circle,Future Galaxy,2,1
IGN,Future Galaxy,2,5
IGN,Future Galaxy,3,1
Letterboxd,Future Galaxy,3,1
Metacritic,Fury Ancient,1,16
IGN,Fury Ancient,1,3
Audience Choice,Fury Ancient,2,839
IGN,Fury Ancient,2,10
Roger Ebert,Fury Ancient,2,0
FilmAffinity,Fury Ancient,2,3
Metacritic,Fury Ancient,2,38
IMDb,Fury Ancient,2,7
Letterboxd,Fury Ancient,2,4
Letterboxd,Fury Ancient,3,2
Rotten Tomatoes,Fury Ancient,3,93
IMDb,Golden Echo,1,10
Roger Ebert,Golden Echo,1,3
Metacritic,Golden Echo,1,84
Rotten Tomatoes,Golden Echo,1,80
CinemaScore,Golden Echo,1,12
Roger Ebert,Golden Echo,2,0
Metacritic,Golden Echo,2,10
Audience Choice,Golden Echo,2,127
IGN,Golden Echo,2,2
Letterboxd,Golden Echo,2,4
Rotten Tomatoes,Golden Echo,2,96
CinemaScore,Golden Echo,2,36
CinemaScore,Golden Echo,3,67
Critic Circle,Horizon Galaxy Secret,1,1
Letterboxd,Horizon Galaxy Secret,1,4
Audience Choice,Horizon Galaxy Secret,2,37
Rotten Tomatoes,Horizon Galaxy Secret,2,9
Letterboxd,Horizon Galaxy Secret,2,0
IMDb,Horizon Galaxy Secret,2,10
IGN,Horizon Galaxy Secret,2,6
Metacritic,Golden Storm,1,23
Roger Ebert,Golden Storm,1,2
IMDb,Golden Storm,1,3
Critic Circle,Golden Storm,1,2
FilmAffinity,Golden Storm,1,10
IGN,Golden Storm,2,4
Audience Choice,Golden Storm,2,526
Metacritic,Golden Storm,2,65
IMDb,Golden Storm,2,0
Roger Ebert,Golden Storm,2,1
IMDb,Past Crimson Hidden,1,4
Metacritic,Past Crimson Hidden,1,62
Roger Ebert,Past Crimson Hidden,1,3
Audience Choice,Past Crimson Hidden,1,364
Critic Circle,Past Crimson Hidden,1,4
Metacritic,Past Crimson Hidden,2,80
FilmAffinity,Past Crimson Hidden,3,7
Critic Circle,Past Crimson Hidden,3,2
Roger Ebert,Past Crimson Hidden,3,3
CinemaScore,Past Crimson Hidden,4,35
Letterboxd,Past Crimson Hidden,4,0
Roger Ebert,Past Crimson Hidden,4,0
Rotten Tomatoes,Past Crimson Hidden,4,60
Critic Circle,Past Crimson Hidden,4,0
Audience Choice,Past Crimson Hidden,4,989
Metacritic,Past Crimson Hidden,4,34
IMDb,Past Crimson Hidden,4,0
Letterboxd,Hidden Future,1,3
Roger Ebert,Hidden Future,1,1
CinemaScore,Hidden Future,1,56
Metacritic,Hidden Future,1,86
Audience Choice,Hidden Future,1,118
IGN,Hidden Future,1,4
Rotten Tomatoes,Hidden Future,1,11
Critic Circle,Hidden Future,1,1
Rotten Tomatoes,Hidden Future,3,96
IGN,Hidden Future,3,6
Roger Ebert,Hidden Future,3,4
FilmAffinity,Hidden Future,3,10
CinemaScore,Hidden Future,4,36
Letterboxd,Hidden Future,4,3
Roger Ebert,Hidden Future,4,2
FilmAffinity,Hidden Future,4,6
Audience Choice,Hidden Future,4,917
IMDb,Hidden Future,4,4
IGN,Hidden Future,4,1
FilmAffinity,Wild Horizon Future,1,10
Critic Circle,Wild Horizon Future,1,5
Roger Ebert,Wild Horizon Future,1,0
