show_title,season_num,ep_num,ep_name,ep_length
Horizon Whispers Hidden,1,1,Episode 1,57
Horizon Whispers Hidden,1,2,Episode 2,40
Horizon Whispers Hidden,1,3,Episode 3,40
Horizon Whispers Hidden,1,4,Episode 4,60
Horizon Whispers Hidden,1,5,Episode 5,61
Horizon Whispers Hidden,1,6,Episode 6,46
Phantom Ancient,1,1,Episode 1,67
Phantom Ancient,1,2,Episode 2,65
Phantom Ancient,1,3,Episode 3,68
Phantom Ancient,1,4,Episode 4,53
Phantom Ancient,1,5,Episode 5,73
Phantom Ancient,1,6,Episode 6,30
Phantom Ancient,1,7,Episode 7,87
Phantom Ancient,1,8,Episode 8,58
Phantom Ancient,1,9,Episode 9,33
Phantom Ancient,1,10,Episode 10,76
Phantom Ancient,1,11,Episode 11,43
Phantom Ancient,2,1,Episode 1,66
Phantom Ancient,2,2,Episode 2,84
Phantom Ancient,2,3,Episode 3,64
Phantom Ancient,2,4,Episode 4,88
Phantom Ancient,2,5,Episode 5,52
Phantom Ancient,2,6,Episode 6,79
Phantom Ancient,2,7,Episode 7,64
Phantom Ancient,2,8,Episode 8,79
Phantom Ancient,2,9,Episode 9,30
Phantom Ancient,2,10,Episode 10,35
Future Galaxy,1,1,Episode 1,43
Future Galaxy,1,2,Episode 2,47
Future Galaxy,1,3,Episode 3,48
Future Galaxy,1,4,Episode 4,75
Future Galaxy,1,5,Episode 5,33
Future Galaxy,1,6,Episode 6,34
Future Galaxy,2,1,Episode 1,88
Future Galaxy,2,2,Episode 2,62
Future Galaxy,2,3,Episode 3,66
Future Galaxy,2,4,Episode 4,66
Future Galaxy,2,5,Episode 5,56
Future Galaxy,2,6,Episode 6,52
Future Galaxy,2,7,Episode 7,69
Future Galaxy,2,8,Episode 8,40
Future Galaxy,3,1,Episode 1,57
Future Galaxy,3,2,Episode 2,34
Future Galaxy,3,3,Episode 3,76
Future Galaxy,3,4,Episode 4,52
Future Galaxy,3,5,Episode 5,88
Future Galaxy,3,6,Episode 6,46
Future Galaxy,3,7,Episode 7,65
Future Galaxy,3,8,Episode 8,72
Future Galaxy,3,9,Episode 9,88
Future Galaxy,3,10,Episode 10,39
Future Galaxy,3,11,Episode 11,48
Fury Ancient,1,1,Episode 1,52
Fury Ancient,1,2,Episode 2,75
Fury Ancient,1,3,Episode 3,82
Fury Ancient,1,4,Episode 4,58
Fury Ancient,1,5,Episode 5,89
Fury Ancient,1,6,Episode 6,86
Fury Ancient,1,7,Episode 7,44
Fury Ancient,1,8,Episode 8,40
Fury Ancient,1,9,Episode 9,70
Fury Ancient,1,10,Episode 10,83
Fury Ancient,2,1,Episode 1,71
Fury Ancient,2,2,Episode 2,31
Fury Ancient,2,3,Episode 3,41
Fury Ancient,2,4,Episode 4,52
Fury Ancient,2,5,Episode 5,87
Fury Ancient,2,6,Episode 6,34
Fury Ancient,2,7,Episode 7,71
Fury Ancient,2,8,Episode 8,37
Fury Ancient,2,9,Episode 9,37
Fury Ancient,3,1,Episode 1,37
Fury Ancient,3,2,Episode 2,30
Fury Ancient,3,3,Episode 3,58
Fury Ancient,3,4,Episode 4,42
Fury Ancient,3,5,Episode 5,65
Fury Ancient,3,6,Episode 6,83
Fury Ancient,3,7,Episode 7,66
Golden Echo,1,1,Episode 1,70
Golden Echo,1,2,Episode 2,67
Golden Echo,1,3,Episode 3,66
Golden Echo,1,4,Episode 4,56
Golden Echo,1,5,Episode 5,54
Golden Echo,1,6,Episode 6,72
Golden Echo,1,7,Episode 7,88
Golden Echo,1,8,Episode 8,46
Golden Echo,1,9,Episode 9,80
Golden Echo,2,1,Episode 1,39
Golden Echo,2,2,Episode 2,52
Golden Echo,2,3,Episode 3,72
Golden Echo,2,4,Episode 4,57
Golden Echo,2,5,Episode 5,49
Golden Echo,2,6,Episode 6,53
Golden Echo,2,7,Episode 7,57
Golden Echo,3,1,Episode 1,86
Golden Echo,3,2,Episode 2,74
Golden Echo,3,3,Episode 3,83
Golden Echo,3,4,Episode 4,78
Golden Echo,3,5,Episode 5,77
Golden Echo,3,6,Episode 6,39
Golden Echo,3,7,Episode 7,63
Golden Echo,3,8,Episode 8,57
Horizon Galaxy Secret,1,1,Episode 1,86
Horizon Galaxy Secret,1,2,Episode 2,42
Horizon Galaxy Secret,1,3,Episode 3,45
Horizon Galaxy Secret,1,4,Episode 4,30
Horizon Galaxy Secret,1,5,Episode 5,88
Horizon Galaxy Secret,1,6,Episode 6,75
Horizon Galaxy Secret,1,7,Episode 7,44
Horizon Galaxy Secret,1,8,Episode 8,88
Horizon Galaxy Secret,1,9,Episode 9,70
Horizon Galaxy Secret,1,10,Episode 10,58
Horizon Galaxy Secret,2,1,Episode 1,63
Horizon Galaxy Secret,2,2,Episode 2,62
Horizon Galaxy Secret,2,3,Episode 3,82
Horizon Galaxy Secret,2,4,Episode 4,47
Horizon Galaxy Secret,2,5,Episode 5,74
Horizon Galaxy Secret,2,6,Episode 6,83
Horizon Galaxy Secret,2,7,Episode 7,89
Horizon Galaxy Secret,2,8,Episode 8,58
Golden Storm,1,1,Episode 1,62
Golden Storm,1,2,Episode 2,34
Golden Storm,1,3,Episode 3,42
Golden Storm,1,4,Episode 4,78
Golden Storm,1,5,Episode 5,44
Golden Storm,1,6,Episode 6,74
Golden Storm,1,7,Episode 7,41
Golden Storm,1,8,Episode 8,84
Golden Storm,1,9,Episode 9,49
Golden Storm,1,10,Episode 10,69
Golden Storm,1,11,Episode 11,42
Golden Storm,2,1,Episode 1,87
Golden Storm,2,2,Episode 2,41
Golden Storm,2,3,Episode 3,44
Golden Storm,2,4,Episode 4,45
Golden Storm,2,5,Episode 5,76
Golden Storm,2,6,Episode 6,49
Golden Storm,2,7,Episode 7,57
Golden Storm,2,8,Episode 8,84
Golden Storm,2,9,Episode 9,61
Golden Storm,2,10,Episode 10,87
Past Crimson Hidden,1,1,Episode 1,49
Past Crimson Hidden,1,2,Episode 2,65
Past Crimson Hidden,1,3,Episode 3,49
Past Crimson Hidden,1,4,Episode 4,46
Past Crimson Hidden,1,5,Episode 5,83
Past Crimson Hidden,1,6,Episode 6,77
Past Crimson Hidden,1,7,Episode 7,81
Past Crimson Hidden,1,8,Episode 8,57
Past Crimson Hidden,1,9,Episode 9,32
Past Crimson Hidden,1,10,Episode 10,48
Past Crimson Hidden,2,1,Episode 1,61
Past Crimson Hidden,2,2,Episode 2,86
Past Crimson Hidden,2,3,Episode 3,51
